path,new_h,orig_h,i,rmse,d0,d1,di,0.001,0.005,0.01,0.02,0.03,0.05,0.1
val/traditional/judge/003167.npy,1,0,28,2.592,0.091,0.418,0.424,0.976,0.866,0.713,0.433,0.0,0.0,0.0
val/traditional/judge/001394.npy,1,1,29,2.558,0.388,0.159,0.369,0.974,0.87,0.698,0.43,0.045,0.0,0.0
val/traditional/judge/000086.npy,1,1,29,2.582,0.582,0.129,0.39,0.976,0.87,0.724,0.448,0.077,0.0,0.0
val/traditional/judge/002079.npy,0,1,28,2.794,0.167,0.027,0.17,0.973,0.897,0.783,0.545,0.0,0.0,0.0
val/traditional/judge/002853.npy,0,1,27,2.849,0.505,0.117,0.517,0.963,0.889,0.807,0.61,0.0,0.0,0.0
val/traditional/judge/002337.npy,1,0,10,1.468,0.031,0.1,0.104,0.979,0.873,0.202,0.0,0.0,0.0,0.0
val/traditional/judge/000289.npy,1,0,10,1.391,0.209,0.424,0.429,0.958,0.805,0.074,0.0,0.0,0.0,0.0
val/traditional/judge/003871.npy,0,0,29,2.911,0.186,0.628,0.512,0.982,0.907,0.808,0.614,0.084,0.0,0.0
val/traditional/judge/000203.npy,0,1,28,2.73,0.316,0.132,0.318,0.976,0.884,0.747,0.507,0.0,0.0,0.0
val/traditional/judge/000224.npy,1,1,29,2.858,0.468,0.05,0.374,0.979,0.899,0.788,0.587,0.105,0.0,0.0
val/traditional/judge/001810.npy,0,1,20,2.217,0.219,0.068,0.225,0.982,0.906,0.799,0.236,0.0,0.0,0.0
val/traditional/judge/000671.npy,0,1,27,2.202,0.291,0.047,0.299,0.938,0.795,0.651,0.315,0.0,0.0,0.0
val/traditional/judge/001899.npy,1,0,16,2.075,0.225,0.326,0.328,0.972,0.87,0.709,0.0,0.0,0.0,0.0
val/traditional/judge/002375.npy,0,1,3,0.712,0.088,0.072,0.09,0.9,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000561.npy,0,1,6,0.689,0.134,0.06,0.139,0.945,0.718,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004287.npy,1,0,3,0.695,0.071,0.103,0.116,0.9,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000278.npy,1,0,3,0.695,0.077,0.087,0.09,0.805,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001802.npy,0,0,29,2.895,0.05,0.562,0.177,0.964,0.894,0.791,0.614,0.097,0.0,0.0
val/traditional/judge/003945.npy,1,0,22,2.136,0.09,0.385,0.394,0.977,0.876,0.75,0.437,0.0,0.0,0.0
val/traditional/judge/000031.npy,0,1,24,2.644,0.294,0.067,0.297,0.973,0.869,0.733,0.48,0.0,0.0,0.0
val/traditional/judge/001194.npy,0,0,29,2.907,0.017,0.748,0.501,0.981,0.905,0.809,0.617,0.107,0.0,0.0
val/traditional/judge/003438.npy,0,0,29,2.822,0.065,0.243,0.215,0.976,0.896,0.782,0.562,0.095,0.0,0.0
val/traditional/judge/002680.npy,1,0,1,0.713,0.061,0.069,0.069,0.204,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001949.npy,1,0,12,1.361,0.037,0.143,0.15,0.958,0.789,0.5,0.0,0.0,0.0,0.0
val/traditional/judge/004650.npy,0,1,26,2.926,0.413,0.074,0.419,0.981,0.913,0.82,0.615,0.0,0.0,0.0
val/traditional/judge/000773.npy,1,0,7,0.707,0.014,0.052,0.054,0.964,0.818,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001016.npy,0,0,29,2.675,0.132,0.637,0.323,0.979,0.889,0.759,0.499,0.079,0.0,0.0
val/traditional/judge/003888.npy,1,0,17,2.15,0.074,0.242,0.25,0.97,0.888,0.789,0.0,0.0,0.0,0.0
val/traditional/judge/003051.npy,0,1,12,1.435,0.35,0.153,0.35,0.966,0.84,0.594,0.0,0.0,0.0,0.0
val/traditional/judge/003646.npy,0,1,1,0.701,0.08,0.07,0.084,0.406,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001121.npy,1,0,4,0.678,0.046,0.086,0.086,0.925,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002544.npy,1,1,29,2.69,0.643,0.247,0.479,0.941,0.845,0.714,0.483,0.047,0.0,0.0
val/traditional/judge/001900.npy,1,0,8,1.344,0.019,0.097,0.109,0.963,0.777,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001486.npy,1,0,1,0.7,0.015,0.017,0.021,0.331,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003255.npy,1,0,20,1.828,0.226,0.642,0.656,0.96,0.792,0.554,0.037,0.0,0.0,0.0
val/traditional/judge/004421.npy,1,0,22,1.909,0.068,0.233,0.234,0.958,0.8,0.576,0.203,0.0,0.0,0.0
val/traditional/judge/004671.npy,0,1,24,2.71,0.16,0.02,0.166,0.97,0.878,0.754,0.51,0.0,0.0,0.0
val/traditional/judge/000027.npy,1,1,29,3.027,0.331,0.07,0.28,0.982,0.917,0.832,0.676,0.09,0.0,0.0
